filename,width,height,class,xmin,ymin,xmax,ymax
57594_jpg.rf.2cfee35df135fee640a0b7fa395477e8.jpg,512,512,French Fries,0,31,511,477
106608_jpg.rf.34804701f126ac0b56afbb717df5b81b.jpg,512,512,French Fries,190,149,410,266
3018695_jpg.rf.078cfaa486b478f5eb39822ddb6c8284.jpg,512,512,Apple Pie,42,116,509,437
80865_jpg.rf.eb6af694e8681880b4549081b541bc2a.jpg,512,512,French Fries,0,0,511,511
48052_jpg.rf.cd89ebec344abfd4fa327db43721e897.jpg,512,512,French Fries,166,50,511,488
2929448_jpg.rf.1faa42941521b9480073597393d579f6.jpg,512,512,Apple Pie,0,0,511,461
2961496_jpg.rf.6a5e3d7603bda2f656011d6282f0e4cc.jpg,512,512,Apple Pie,2,46,511,423
2989031_jpg.rf.c7b5375b30193b48f50e6cdc52d41e2b.jpg,512,512,Apple Pie,29,163,464,345
2914000_jpg.rf.27dc8098574e978a15f21aced0076730.jpg,512,512,Apple Pie,57,123,403,304
2911613_jpg.rf.6f704802941a8fef4684533ff5850c14.jpg,512,512,Apple Pie,49,36,439,447
82946_jpg.rf.03294c600b556a09d78e923842181b4f.jpg,512,512,French Fries,0,0,511,511
3023096_jpg.rf.49e009e7e5b1fcf77c48fd65f1b93768.jpg,512,512,Apple Pie,0,154,476,511
3021995_jpg.rf.2b6da7cebc3e13af87e3119f264491b6.jpg,512,512,Apple Pie,0,25,503,488
2994917_jpg.rf.5b40a6c3fff4d6ad2865df74f2340356.jpg,512,512,Apple Pie,3,56,511,508
71701_jpg.rf.0bc344a2de6e0f9c1bcfef05bb09c5dc.jpg,512,512,French Fries,105,87,466,476
2861144_jpg.rf.a53f521e6b5ea595edb3169c8ac8c9ed.jpg,512,512,Apple Pie,98,97,511,511
2902847_jpg.rf.763e7fd94d2d79dfb244e5aadf0fed47.jpg,512,512,Apple Pie,0,1,511,417
80887_jpg.rf.29efffcfa287aee6e9ee3661393b718f.jpg,512,512,French Fries,24,136,511,478
110385_jpg.rf.408c0dd09b349e41c324b5a01543856f.jpg,512,512,French Fries,0,108,511,423
110385_jpg.rf.408c0dd09b349e41c324b5a01543856f.jpg,512,512,French Fries,173,394,389,469
2856319_jpg.rf.511e628204bb673303a4c64ba9d05064.jpg,512,512,Apple Pie,107,152,384,384
2968495_jpg.rf.d6296bd4caac305b8d21d19a1394c05d.jpg,512,512,Apple Pie,73,19,461,419
87020_jpg.rf.7d64bd5b5bf2e880dda44ea54dcb50a4.jpg,512,512,French Fries,244,99,511,343
50277_jpg.rf.e606a22d19a1a86635a64233a536211c.jpg,512,512,French Fries,0,100,464,260
2923139_jpg.rf.45aeac2dec44371aabe31aea0903aa97.jpg,512,512,Apple Pie,0,1,511,511
52510_jpg.rf.b9a0012d14260ae79ffd0bebe1b3636d.jpg,512,512,French Fries,0,162,425,354
10897_jpg.rf.91c3de2a1794755bb0fd243c06944ab2.jpg,512,512,French Fries,108,128,367,357
108743_jpg.rf.a00ced4fe8cb0ac37f81e61614eeb278.jpg,512,512,French Fries,50,4,442,511
2915359_jpg.rf.be31508b55b70071c189c588491318ba.jpg,512,512,Apple Pie,26,82,416,363
3025907_jpg.rf.6c1cdcb245e280ee01368e25d4c9536c.jpg,512,512,Apple Pie,161,21,437,478
89974_jpg.rf.8b9305b73700196410a8a8a42cd73f38.jpg,512,512,French Fries,0,27,511,511
2967700_jpg.rf.9f7a996f35067c14246051939d7a75c6.jpg,512,512,Apple Pie,75,168,305,491
3139_jpg.rf.34290002d25e878e7a5f364949a936e4.jpg,512,512,French Fries,99,103,392,425
2945592_jpg.rf.97656f038bd100a88bef43e3ab657d31.jpg,512,512,Apple Pie,6,98,472,354
17394_jpg.rf.7634a7643d9def1a047af4c73ee96081.jpg,512,512,French Fries,0,24,416,511
2961406_jpg.rf.c66c0723b76aba7c38633e14ca50b1e8.jpg,512,512,Apple Pie,58,51,384,387
60306_jpg.rf.d053241d29897b98e6a45105bdcc871b.jpg,512,512,French Fries,0,0,511,511
2989799_jpg.rf.e52f180d158f1c0a165a14f9e0d82246.jpg,512,512,Apple Pie,1,20,511,511
93653_jpg.rf.9637efd0d7566b1fa7eba83b511552be.jpg,512,512,French Fries,0,49,468,480
65608_jpg.rf.29ef28b77d4b45baf8566b0a55c1a2a1.jpg,512,512,French Fries,93,33,511,499
2924795_jpg.rf.f41c764058155cefb61f00d97b2d989d.jpg,512,512,Apple Pie,20,74,484,380
2909830_jpg.rf.228e1ea576eb91f7090481be47c5691c.jpg,512,512,Apple Pie,210,43,397,259
43636_jpg.rf.b287786cf72e36c6dae6222b13f64154.jpg,512,512,French Fries,11,17,261,301
3004621_jpg.rf.b7e81ce3e18a232658886dcc41542b4f.jpg,512,512,Apple Pie,278,306,400,446
2922138_jpg.rf.29e30d4f916c53da4ec291c40190373d.jpg,512,512,Apple Pie,0,172,511,392
3027601_jpg.rf.1e169b2af28710c6eb98169eb7ceb3e9.jpg,512,512,Apple Pie,0,61,510,456
2986199_jpg.rf.2d16c8799b7333a3669373be319ae974.jpg,512,512,Apple Pie,28,37,291,233
87125_jpg.rf.af084aaf1a89dde260c37e27e1ff6e7e.jpg,512,512,French Fries,15,97,511,482
2934928_jpg.rf.8bd9af5f3b67b962bcfdb9e7e3343674.jpg,512,512,Apple Pie,9,54,463,465
2977851_jpg.rf.ca57605c2bf1d54cbffbc80830fe6d33.jpg,512,512,Apple Pie,182,100,464,288
109401_jpg.rf.893ea9f90e7bc59c417bb226f852f022.jpg,512,512,French Fries,0,0,511,511
2909139_jpg.rf.e53980e7daf9f83263704e7147546d10.jpg,512,512,Apple Pie,174,173,427,508
24479_jpg.rf.ba5bba377d66af8dce4c49b9a02afba6.jpg,512,512,French Fries,104,65,275,192
123929_jpg.rf.f917d357ddd6a0f3324d7b805abffdad.jpg,512,512,French Fries,0,135,511,511
